pre,post,weight
299613480,704409742,1
299613480,5812980931,1
299613480,394427392,3
299613480,642681035,1
299613480,5813033009,3
299613480,5812980940,7
299613480,425445301,1
299613480,5812980569,1
299613480,456458549,6
299613480,519232054,2
299613480,5812982192,2
299613480,455793621,2
299613480,5813021463,1
299613480,5812982470,2
299613480,5812981071,1
299613480,5812983174,1
299613480,359598627,5
299613480,425276848,1
299613480,643363111,2
299613480,454252960,1
299613480,456808311,1
299613480,861280857,9
299613480,1388585088,4
299613480,360941147,1
299613480,393766777,7
299613480,704750665,1
299613480,5813021319,1
299613480,600365719,9
299613480,1016118449,1
299613480,517858947,2
299613480,549248200,4
299613480,611309194,1
299613480,5813021315,1
299613480,5813032943,4
299613480,5813042616,1
299613480,5813021788,10
299613480,5812981667,1
299613480,5812980593,2
299613480,5812982162,1
299613480,5813021326,1
299613480,971459227,1
299613480,5812980212,1
299613480,643535876,2
299613480,364411143,1
299613480,5813067736,1
299613480,487501700,1
299613480,573065577,12
299613480,661408094,2
299613480,332003895,2
299613480,5813067761,1
299613480,298595394,5
299613480,394768379,4
299613480,5812981680,10
299613480,5813021386,3
299613480,519555690,2
299613480,908699052,1
299613480,425086839,7
299613480,5813091744,5
299613480,5812980938,7
299613480,1387575003,7
299613480,1078874826,6
299613480,704409534,11
299613480,424789697,2
299613480,5813060643,3
299613480,611646050,11
299613480,456462919,5
299613480,767494105,4
299613480,1047489962,2
299613480,849707224,1
299613480,456467162,1
299613480,456462835,8
299613480,1078534091,1
299613480,5812982782,2
299613480,5813114971,3
299613480,1328505485,7
299613480,5812983346,2
299613480,1034198388,7
299613480,332003629,1
299613480,642680853,1
299613480,5813021251,1
299613480,5812982374,1
299613480,512765910,1
299613480,829235909,6
299613480,940075056,7
299613480,642335523,8
299613480,5812981643,9
299613480,363733406,1
299613480,704746457,5
299613480,1108545599,1
299613480,5813078552,2
299613480,518195738,7
299613480,642680826,10
299613480,425086851,8
299613480,5813020831,2
299613480,735785741,1
299613480,5812982780,5
299613480,799219795,11
299613480,542371432,13
299613480,424767514,6
299613480,5813022341,2
299613480,5813067779,1
299613480,1064891781,5
299613480,1297815807,6
299613480,5812980219,2
299613480,1110972158,2
299613480,766298734,4
299613480,394397189,3
299613480,940761352,1
299613480,477861840,12
299613480,5813010617,8
299613480,753489951,2
299613480,798537638,3
299613480,5813114700,6
299613480,5813021033,9
299613480,861285145,6
299613480,798874090,2
299613480,332690153,1
299613480,923013923,1
299613480,733036127,11
299613480,5812980792,7
299613480,815926346,1
299613480,5812983608,1
299613480,1016805008,6
299613480,425790257,9
299613480,1196854070,5
299613480,642680969,10
299613480,519573128,10
299613480,477262101,1
299613480,953712141,1
299613480,5812980408,2
299613480,568635279,1
299613480,642680881,1
299613480,5813088767,1
299613480,1390942076,2
299613480,5813077589,8
299613480,5812983837,8
299613480,488520820,8
299613480,735785459,1
299613480,910404284,1
299613480,704746449,6
299613480,5813021311,1
299613480,5812983023,1
299613480,908689934,1
299613480,611646147,8
299613480,5813075824,5
299613480,846616159,1
299613480,5813092931,8
299613480,363047222,2
299613480,5813054343,4
299613480,799215269,3
299613480,1047153433,1
299613480,816263443,1
299613480,1234386037,8
299613480,939729706,1
299613480,549571627,9
299613480,5812980566,7
299613480,1418273110,8
299613480,1077851551,1
299613480,798196454,1
299613480,5813095238,1
299613480,630381662,1
299613480,1108545472,6
299613480,5813021464,4
299613480,394073547,2
299613480,704750842,1
299613480,332689776,1
299613480,5813105172,17
299613480,268725517,4
299613480,5812981619,1
299613480,362689128,2
299613480,518873604,1
299613480,422725634,53
299613480,880409455,1
300968622,860266062,1
300968622,363384090,1
300968622,519232054,1
300968622,538282782,1
300968622,301318641,1
300968622,5812983012,1
300968622,5812980425,1
300968622,5812980806,1
300968622,580951922,1
300968622,798874090,1
300968622,5813019607,1
300968622,611309194,3
300968622,518864844,1
300968622,5812980973,1
300968622,5813067836,1
300968622,394073547,2
300968622,363725201,1
300968622,551790913,1
300968622,1108541296,1
300968622,5813099783,1
300968622,940084011,1
300968622,5813083719,1
300968622,1313496027,1
300968622,5813021465,1
300968622,725174424,1
300968622,908668556,1
300968622,940425232,1
300968622,877992236,1
300968622,846616006,1
300968622,662772373,1
300968622,940079253,1
300968622,756585129,1
300968622,642680881,1
300968622,538308362,1
300968622,815930761,1
300968622,5813056110,1
300968622,846952407,1
300968622,1078007730,2
300968622,735282133,1
300968622,5813021463,1
300968622,5813113782,1
300968622,332353336,1
300968622,5812981971,1
300968622,5813067736,1
300968622,599674785,1
300968622,5813021311,1
300968622,332340236,2
300968622,643535876,1
300968622,5813019513,2
300968622,1016114585,1
300968622,5813079050,1
300968622,847989021,3
300968622,364070517,1
300968622,394077610,1
300968622,1420651734,2
300968622,5812980615,2
300968622,5812980192,2
300968622,724134138,1
300968622,910412830,1
300968622,705091521,3
300968622,569943419,1
300968622,5812983213,1
300968622,5813035558,1
300968622,5813021647,1
300968622,1139921468,2
300968622,849685478,3
300968622,519223428,3
300968622,5812980561,1
300968622,5813090861,1
300968622,940748411,4
300968622,909730911,2
300968622,923018290,3
300968622,673715784,1
300968622,5813057213,1
300968622,364407023,2
300968622,5812983345,4
300968622,1109568528,2
300968622,785573850,1
300968622,476545134,1
300968622,878337317,1
300968622,425104113,3
300968622,487501700,1
300968622,1047183897,2
300968622,642689607,5
300968622,5812981673,1
300968622,393766777,3
300968622,363370913,1
300968622,550598935,1
300968622,455793621,1
300968622,5813061625,2
300968622,846620287,3
300968622,363733406,1
300968622,5813021315,3
300968622,329435390,2
300968622,5812981690,1
300968622,5812980376,4
300968622,517871837,1
300968622,846611908,1
300968622,5813058069,1
300968622,1233703950,1
300968622,582148591,1
300968622,674398014,1
300968622,328253133,1
300968622,879032295,1
300968622,5813021312,1
300968622,5812980599,1
300968622,332003899,1
300968622,425104216,2
300968622,456134692,2
300968622,735785459,1
300968622,5813021400,2
300968622,971118724,1
300968622,551790504,3
300968622,5813021401,2
300968622,1203066222,1
300968622,359598627,3
300968622,5812980395,2
300968622,785189156,1
300968622,1162063500,5
300968622,362701764,1
300968622,5812980219,2
300968622,971118202,2
300968622,362693473,4
300968622,940079568,3
300968622,1231299343,1
300968622,5813067869,1
300968622,364411143,1
300968622,891301236,2
300968622,5813106497,2
